id,月份,区域,产品,渠道,数量,单价,销售额,成本
93,2026-06,华南,A产品,代理,30,1520.75,45622.5,31246.1
94,2026-04,华东,B产品,线上,74,973.44,72034.56,31285.82
95,2026-04,西南,C产品,线下,95,1231.49,116991.55,80621.27
96,2026-12,华东,B产品,线下,65,1178.44,76598.6,51984.88
97,2026-10,西南,D产品,代理,111,198.19,21999.09,13357.5
98,2026-11,华南,A产品,代理,405,638.09,258426.45,156419.77
99,2026-02,华中,A产品,线下,282,885.34,249665.88,127622.02
100,2026-09,华北,A产品,线下,431,1005.89,433538.59,229800.17
101,2026-06,西南,B产品,线下,100,1480.9,148090.0,102129.1
102,2026-05,华中,D产品,线下,233,1660.18,386821.94,223483.43
103,2026-06,华南,A产品,线下,461,929.06,428296.66,267746.61
104,2026-10,华中,D产品,线下,24,1013.9,24333.6,12106.07
105,2026-08,华南,C产品,线下,184,595.33,109540.72,63407.26
106,2026-05,华中,A产品,代理,495,422.56,209167.2,98812.01
107,2026-07,西南,B产品,代理,253,1309.51,331306.03,181306.03
108,2026-01,华东,C产品,线上,217,1398.98,303578.66,149318.75
